g               ref             fci             mbpt2           mbpt3           mbpt4           ccd             adc2            adc3            adc3-d          imsrg2          fciqmc          dfciqmc         
-1.00           3.000000        -0.220130       -0.291667       -0.107639       -0.208984       -0.218952       -0.370108       -0.109217       -0.217092       -0.235322       -0.221298       0.003775        
-0.90           2.900000        -0.183073       -0.236250       -0.102094       -0.168587       -0.182308       -0.298592       -0.107569       -0.181020       -0.193750       -0.183333       0.003398        
-0.80           2.800000        -0.148599       -0.186667       -0.092444       -0.133956       -0.148132       -0.233666       -0.100423       -0.147289       -0.155759       -0.149127       0.002525        
-0.70           2.700000        -0.116938       -0.142917       -0.079795       -0.104128       -0.116674       -0.176176       -0.088333       -0.116160       -0.121458       -0.116708       0.002153        
-0.60           2.600000        -0.088347       -0.105000       -0.065250       -0.078384       -0.088212       -0.126779       -0.072805       -0.087927       -0.090981       -0.088520       0.001674        
-0.50           2.500000        -0.063116       -0.072917       -0.049913       -0.056247       -0.063056       -0.085832       -0.055610       -0.062917       -0.064491       -0.062945       0.001113        
-0.40           2.400000        -0.041569       -0.046667       -0.034889       -0.037483       -0.041548       -0.053358       -0.038506       -0.041491       -0.042180       -0.041559       0.000741        
-0.30           2.300000        -0.024069       -0.026250       -0.021281       -0.022102       -0.024063       -0.029076       -0.023108       -0.024046       -0.024279       -0.024206       0.000443        
-0.20           2.200000        -0.011012       -0.011667       -0.010194       -0.010357       -0.011011       -0.012498       -0.010825       -0.011008       -0.011057       -0.011083       0.000270        
-0.10           2.100000        -0.002834       -0.002917       -0.002733       -0.002743       -0.002834       -0.003019       -0.002823       -0.002834       -0.002837       -0.002832       0.000087        
0.00            2.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        
0.10            1.900000        -0.003000       -0.002917       -0.003101       -0.003111       -0.003000       -0.002818       -0.002990       -0.003000       -0.003004       -0.003017       0.000083        
0.20            1.800000        -0.012338       -0.011667       -0.013139       -0.013301       -0.012339       -0.010897       -0.012171       -0.012339       -0.012403       -0.012363       0.000302        
0.30            1.700000        -0.028512       -0.026250       -0.031219       -0.032040       -0.028522       -0.023717       -0.027705       -0.028529       -0.028877       -0.028573       0.000435        
0.40            1.600000        -0.051999       -0.046667       -0.058444       -0.061039       -0.052041       -0.040818       -0.049575       -0.052092       -0.053273       -0.051918       0.000788        
0.50            1.500000        -0.083226       -0.072917       -0.095920       -0.102254       -0.083362       -0.061797       -0.077640       -0.083568       -0.086665       -0.083974       0.001520        
0.60            1.400000        -0.122551       -0.105000       -0.144750       -0.157884       -0.122909       -0.086298       -0.111681       -0.123527       -0.130459       -0.122648       0.001731        
0.70            1.300000        -0.170240       -0.142917       -0.206038       -0.230371       -0.171045       -0.114011       -0.151442       -0.172578       -0.186543       -0.169953       0.002138        
0.80            1.200000        -0.226448       -0.186667       -0.280889       -0.322400       -0.228067       -0.144663       -0.196668       -0.231383       -0.257562       -0.225578       0.003281        
0.90            1.100000        -0.291212       -0.236250       -0.370406       -0.436899       -0.294192       -0.178013       -0.247117       -0.300651       -0.347477       -0.291592       0.003984        
1.00            1.000000        -0.364452       -0.291667       -0.475694       -0.577040       -0.369557       -0.213848       -0.302579       -0.381132       -0.462596       -0.364301       0.005229        
