# Type Rho HF MBPT2 MBPT3 IMSRG2 FCIQMC FCIQMC(smoothed)
PNM 0.02 5.0115 4.3166 4.3518 4.2095 4.6383 4.6554
PNM 0.04 7.1930 6.2676 6.4172 6.2413 6.6871 6.6415
PNM 0.06 9.0731 7.8990 8.1085 7.9005 8.4209 8.4274
PNM 0.08 10.9446 9.5046 9.7449 9.5254 10.1195 10.1650
PNM 0.1 12.9082 11.2147 11.4660 11.2507 11.9468 11.9659
PNM 0.12 15.0004 13.0792 13.3308 13.1282 13.9379 13.9030
PNM 0.14 17.2306 15.1138 15.3619 15.1747 16.0473 16.0134
PNM 0.16 19.5935 17.3168 17.5619 17.3885 18.3142 18.3029
PNM 0.18 22.0796 19.6795 19.9242 19.7611 20.7422 20.7525
PNM 0.2 24.6728 22.1848 22.4326 22.2749 23.2628 23.3261
PNM 0.22 27.3600 24.8146 25.0689 24.9128 25.9821 25.9799
PNM 0.24 30.1249 27.5490 27.8128 27.6538 28.6746 28.6738
PNM 0.26 32.9542 30.3700 30.6455 30.5858 31.4967 31.3836
PNM 0.28 35.8340 33.2581 33.5465 33.4767 34.0099 34.1160
PNM 0.3 38.7548 36.2018 36.5034 36.4211 36.9477 36.9238
PNM 0.32 41.7057 39.1863 39.5004 39.4055 39.9261 39.9240
SNM 0.02 -0.4204 -3.0880 -3.6803 -3.4202 -1.5998 -1.5671
SNM 0.04 -1.7232 -6.7737 -6.9699 -6.8108 -3.6242 -3.6894
SNM 0.06 -2.5457 -10.0081 -10.1187 -9.7967 -5.2836 -5.3472
SNM 0.08 -2.7352 -12.8551 -13.5179 -12.3449 -6.6069 -6.4465
SNM 0.1 -2.2361 -15.3871 -17.1286 -14.3760 -6.9663 -6.9348
SNM 0.12 -1.0276 -17.5324 -20.7029 -15.8112 -6.7494 -6.7795
SNM 0.14 0.8951 -19.2432 -24.0396 -16.5754 -5.7062 -5.9541
SNM 0.16 3.5257 -20.4659 -26.9657 -16.6283 -4.6073 -4.4299
SNM 0.18 6.8524 -21.1505 -29.3473 -15.9294 -2.2704 -2.1749
SNM 0.2 10.8569 -21.2686 -31.1012 -14.4691 0.8573 0.8417
SNM 0.22 15.5182 -20.8557 -32.2286 -12.2528 5.0654 4.6371
SNM 0.24 20.8117 -19.9359 -32.7334 -9.3715 8.7002 9.1977
SNM 0.26 26.7100 -18.5970 -32.6949 -5.7190 14.1199 14.4546
SNM 0.28 33.1851 -16.9591 -32.2315 -1.4559 21.2707 20.2519
SNM 0.3 40.2060 -15.1640 -31.4883 3.4857 25.6083 26.3104
SNM 0.32 47.7396 -13.4133 -30.6674 8.9276 32.3449 32.1827
