# Type Rho HF MBPT2 MBPT3 IMSRG2 FCIQMC FCIQMC(smoothed)
PNM 0.02 4.5579 3.8251 3.8973 3.7334 4.0639 4.0692
PNM 0.04 6.1866 5.0678 5.3661 5.0752 5.4750 5.4567
PNM 0.06 7.5235 6.0018 6.4593 6.0541 6.5549 6.5676
PNM 0.08 8.9140 6.9979 7.5439 7.0824 7.6778 7.6946
PNM 0.1 10.4912 8.2216 8.8020 8.3300 9.0261 9.0126
PNM 0.12 12.3113 9.7519 10.3307 9.8805 10.6335 10.6116
PNM 0.14 14.3972 11.6242 12.1811 11.7705 12.5083 12.5252
PNM 0.16 16.7492 13.8427 14.3688 14.0012 14.7349 14.7526
PNM 0.18 19.3576 16.3901 16.8832 16.5571 17.2913 17.2765
PNM 0.2 22.2034 19.2388 19.7004 19.4095 20.0901 20.0745
PNM 0.22 25.2660 22.3562 22.7899 22.5262 23.1164 23.1258
PNM 0.24 28.5207 25.7041 26.1143 25.8703 26.3867 26.4122
PNM 0.26 31.9433 29.2467 29.6378 29.5106 29.9353 29.9144
PNM 0.28 35.5086 32.9468 33.3228 33.1972 33.6145 33.6021
PNM 0.3 39.1950 36.7744 37.1382 37.0114 37.4011 37.4193
PNM 0.32 42.9808 40.7012 41.0548 40.9249 41.2690 41.2638
SNM 0.02 -1.3514 -4.2140 -5.1350 -5.7826 -2.5633 -2.5566
SNM 0.04 -3.8346 -8.2443 -8.7102 -8.4507 -5.6724 -5.7119
SNM 0.06 -6.1063 -11.3856 -11.4027 -11.3922 -8.5225 -8.4466
SNM 0.08 -8.0166 -13.8718 -13.6963 -13.8021 -10.6581 -10.6986
SNM 0.1 -9.5077 -15.8370 -15.6680 -15.7105 -12.4202 -12.4544
SNM 0.12 -10.5522 -17.3270 -17.2810 -17.1495 -13.7805 -13.7278
SNM 0.14 -11.1379 -18.3583 -18.4869 -18.1269 -14.5104 -14.5437
SNM 0.16 -11.2605 -18.9334 -19.2431 -18.6395 -14.8934 -14.9251
SNM 0.18 -10.9228 -19.0481 -19.5158 -18.6865 -14.9724 -14.8853
SNM 0.2 -10.1301 -18.6994 -19.2842 -18.2652 -14.4246 -14.4245
SNM 0.22 -8.8920 -17.8935 -18.5442 -17.3798 -13.4981 -13.5300
SNM 0.24 -7.2198 -16.6349 -17.2952 -16.0364 -12.0787 -12.1818
SNM 0.26 -5.1275 -14.9342 -15.5456 -14.2474 -10.4608 -10.3618
SNM 0.28 -2.6306 -12.8113 -13.3149 -12.0278 -8.1164 -8.0677
SNM 0.3 0.2557 -10.2722 -10.6092 -9.3947 -5.2526 -5.3313
SNM 0.32 3.5118 -7.3518 -7.4636 -6.3687 -2.2638 -2.2411
