# Interaction Rho FCI HF MBPT2 MBPT3 IMSRG2 FCIQMC Error(FCIQMC)
LO-EMN(450) 0.06 -20.126629 -15.049800 -20.068000 -20.491300 -20.607300 -20.127950 0.000850
LO-EMN(450) 0.16 -45.478281 -40.132800 -45.595100 -45.742300 -45.697400 -45.478642 0.001098
LO-EMN(450) 0.26 -67.504772 -65.215900 -67.498300 -67.537300 -67.528900 -67.504514 0.000453
LO-EMN(500) 0.06 -18.594329 -13.404700 -18.770500 -19.032700 -19.068900 -18.595137 0.000752
LO-EMN(500) 0.16 -44.206674 -35.745800 -44.649800 -44.880700 -44.761400 -44.208017 0.001722
LO-EMN(500) 0.26 -64.201085 -58.086800 -64.284700 -64.417800 -64.395200 -64.202045 0.001221
LO-EMN(550) 0.06 -17.085793 -11.899400 -17.474800 -17.547400 -17.540700 -17.085688 0.000970
LO-EMN(550) 0.16 -42.813616 -31.731800 -43.709500 -43.919700 -43.775700 -42.815628 0.002229
LO-EMN(550) 0.26 -62.567113 -51.564200 -62.925100 -63.227500 -63.232400 -62.568931 0.002541
NLO-EMN(450) 0.06 -25.628098 -22.786600 -25.736300 -25.749300 -25.746200 -25.628194 0.000358
NLO-EMN(450) 0.16 -62.220426 -60.764200 -62.032200 -62.128000 -62.165200 -62.220634 0.000216
NLO-EMN(450) 0.26 -99.695767 -98.741900 -99.415500 -99.542700 -99.572000 -99.695918 0.000154
NLO-EMN(500) 0.06 -24.696669 -21.865500 -24.875100 -24.833100 -24.806500 -24.695856 0.000434
NLO-EMN(500) 0.16 -60.980340 -58.307900 -60.669400 -60.881300 -60.951600 -60.980310 0.000480
NLO-EMN(500) 0.26 -97.743300 -94.750400 -97.238000 -97.562000 -97.618000 -97.743197 0.000473
NLO-EMN(550) 0.06 -22.311681 -19.637300 -22.455200 -22.420600 -22.401600 -22.312082 0.000482
NLO-EMN(550) 0.16 -57.824124 -52.366000 -57.761900 -57.744200 -57.924300 -57.823460 0.000958
NLO-EMN(550) 0.26 -93.555303 -85.094800 -93.991100 -93.428300 -93.598400 -93.553885 0.001882
N2LO-EMN(450) 0.06 -25.793697 -22.066600 -25.783400 -25.999400 -26.029900 -25.794004 0.000497
N2LO-EMN(450) 0.16 -60.891308 -58.844300 -60.735900 -60.844500 -60.870200 -60.890908 0.000377
N2LO-EMN(450) 0.26 -96.131070 -95.622000 -95.912400 -95.975400 -96.002100 -96.131135 0.000061
N2LO-EMN(500) 0.06 -24.674459 -20.845800 -24.750500 -24.911100 -24.920400 -24.674647 0.000524
N2LO-EMN(500) 0.16 -60.599421 -55.588700 -60.477600 -60.739900 -60.745600 -60.600488 0.001111
N2LO-EMN(500) 0.26 -91.966461 -90.331600 -91.517100 -91.754500 -91.857200 -91.966706 0.000290
N2LO-EMN(550) 0.06 -23.539788 -19.753500 -23.684600 -23.776800 -23.774700 -23.540735 0.000596
N2LO-EMN(550) 0.16 -59.613719 -52.675900 -59.578400 -59.941300 -59.930500 -59.614809 0.001355
N2LO-EMN(550) 0.26 -91.028254 -85.598400 -90.264500 -90.883200 -91.069800 -91.028238 0.001281
Delta-NLO(450) 0.06 -25.758139 -21.684600 -26.016100 -26.076500 -26.041400 -25.758264 0.001079
Delta-NLO(450) 0.16 -62.494354 -57.825600 -61.851200 -62.628500 -62.987900 -62.493912 0.000282
Delta-NLO(450) 0.26 -95.338888 -93.966600 -94.853700 -95.224300 -95.564500 -95.338953 0.000173
Delta-NLO(500) 0.06 -25.489230 -21.189000 -25.776400 -25.838900 -25.797600 -25.488744 0.000506
Delta-NLO(500) 0.16 -64.931765 -56.504100 -64.172000 -65.463600 -65.956600 -64.930787 0.001056
Delta-NLO(500) 0.26 -99.148142 -91.819200 -96.757700 -98.793200 -100.584400 -99.148061 0.002073
Delta-N2LO(450) 0.06 -26.635043 -22.518300 -26.901000 -27.000600 -26.934900 -26.634655 0.000323
Delta-N2LO(450) 0.16 -66.647923 -60.108300 -65.329700 -66.817800 -67.671800 -66.647839 0.000781
Delta-N2LO(450) 0.26 -99.965352 -97.772700 -99.058800 -99.709200 -100.491400 -99.965481 0.000108
Delta-N2LO(500) 0.06 -25.974891 -21.811400 -26.243800 -26.349200 -26.289200 -25.974286 0.000521
Delta-N2LO(500) 0.16 -67.648524 -56.938400 -66.066400 -68.456000 -69.553000 -67.649291 0.000478
Delta-N2LO(500) 0.26 -100.907618 -90.533500 -97.031400 -100.324200 -103.981200 -100.907010 0.001248
Delta-NLO-GO(450) 0.06 -27.683742 -24.487600 -27.926600 -27.891800 -27.850500 -27.683774 0.000278
Delta-NLO-GO(450) 0.16 -69.625981 -65.300200 -68.619800 -69.607100 -70.063900 -69.625730 0.000208
Delta-NLO-GO(450) 0.26 -107.622515 -106.112900 -107.046800 -107.471900 -107.825300 -107.622582 0.000083
Delta-N2LO-GO(450) 0.06 -27.722659 -24.278300 -27.972500 -27.984400 -27.933600 -27.722102 0.000281
Delta-N2LO-GO(450) 0.16 -69.284541 -64.090800 -68.115400 -69.342800 -70.009400 -69.284197 0.000244
Delta-N2LO-GO(450) 0.26 -104.866709 -103.089400 -104.152000 -104.683800 -105.233400 -104.866618 0.000102
