# Delta-N2LO-GO(450);
# A=66(76) for PNM(SNM), PBC;
# rho         matter        HF            MBPT2         MBPT3         CCD           ADC3-D        IMSRG2        FCIQMC        FCIQMC_err    
0.0200        PNM           4.6115        3.9546        4.0103        4.0194        3.9325        3.8677        3.9596        0.0015        
0.0400        PNM           6.2969        5.2776        5.5368        5.4918        5.4390        5.2811        5.4051        0.0016        
0.0600        PNM           7.6944        6.2344        6.6740        6.5956        6.5257        6.2910        6.4774        0.0026        
0.0800        PNM           9.1499        7.2496        7.7975        7.7182        7.6149        7.3465        7.5641        0.0031        
0.1000        PNM           10.7957       8.5093        9.1000        9.0419        8.9068        8.6378        8.8422        0.0055        
0.1200        PNM           12.6889       10.0942       10.6848       10.6577       10.4887       10.2499       10.4217       0.0052        
0.1400        PNM           14.8507       12.0328       12.6007       12.6055       12.4100       12.2111       12.3477       0.0075        
0.1600        PNM           17.2819       14.3239       14.8599       14.8918       14.6942       14.5202       14.6149       0.0085        
0.1800        PNM           19.9714       16.9491       17.4514       17.5026       17.2326       17.1586       17.2442       0.0050        
0.2000        PNM           22.9011       19.8797       20.3502       20.4118       20.2087       20.0974       20.1760       0.0088        
0.2200        PNM           26.0485       23.0806       23.5233       23.5868       23.3121       23.3029       23.4023       0.0100        
0.2400        PNM           29.3894       26.5143       26.9338       26.9919       26.7297       26.7369       26.8358       0.0058        
0.2600        PNM           32.8989       30.1434       30.5443       30.5912       30.3364       30.4702       30.4951       0.0092        
0.2800        PNM           36.5524       33.9323       34.3186       34.3447       34.1095       34.2498       34.2931       0.0070        
0.3000        PNM           40.3266       37.8486       38.2234       38.2335       38.0150       38.1574       38.2252       0.0038        
0.3200        PNM           44.1996       41.8635       42.2286       42.2218       42.0140       42.1641       42.2302       0.0043        
0.0200        SNM           -1.3019       -4.1559       -5.0527       -4.3886       -5.1688       -4.7189       -4.8607       0.0124        
0.0400        SNM           -3.7326       -8.1534       -8.5961       -7.6933       -8.4465       -8.3272       -8.5740       0.0113        
0.0600        SNM           -5.9482       -11.2590      -11.2599      -10.3526      -11.0405      -11.2269      -11.4234      0.0235        
0.0800        SNM           -7.7989       -13.7108      -13.5277      -12.5989      -13.3038      -13.5893      -13.7969      0.0186        
0.1000        SNM           -9.2268       -15.6313      -15.4633      -14.4942      -15.1985      -15.4475      -15.7702      0.0186        
0.1200        SNM           -10.2045      -17.0725      -17.0350      -16.0082      -16.7503      -16.8316      -17.3133      0.0116        
0.1400        SNM           -10.7198      -18.0502      -18.1931      -17.0812      -17.9008      -17.7484      -18.4809      0.0184        
0.1600        SNM           -10.7690      -18.5656      -18.8936      -17.7008      -18.6154      -18.1971      -19.1915      0.0269        
0.1800        SNM           -10.3540      -18.6164      -19.1046      -17.8420      -18.8501      -18.1749      -19.3752      0.0284        
0.2000        SNM           -9.4811       -18.2012      -18.8069      -17.4858      -18.5697      -17.6810      -19.1111      0.0356        
0.2200        SNM           -8.1596       -17.3224      -17.9927      -16.6422      -17.7467      -16.7174      -18.3326      0.0255        
0.2400        SNM           -6.4013       -15.9871      -16.6639      -15.3194      -16.3216      -15.2932      -16.9872      0.0290        
0.2600        SNM           -4.2199       -14.2069      -14.8300      -13.5250      -14.1440      -13.4199      -15.2143      0.0324        
0.2800        SNM           -1.6308       -11.9973      -12.5062      -11.2747      -11.8821      -11.1122      -12.9080      0.0332        
0.3000        SNM           1.3492        -9.3770       -9.7111       -8.5979       -9.1145       -8.3893       -10.1156      0.0310        
0.3200        SNM           4.7024        -6.3675       -6.4664       -5.5103       -5.0060       -5.2909       -6.9716       0.0369        
