# Delta-less N2LO-EMN(450) with Heuther's 3NF;
# A=66(76) for PNM(SNM), PBC;
# rho         matter        HF            MBPT2         MBPT3         CCD           ADC3-D        IMSRG2        FCIQMC        FCIQMC_err    
0.0200        PNM           5.0175        4.3758        4.4066        4.4227        4.3204        4.2095        4.3679        0.0012        
0.0400        PNM           7.2024        6.3476        6.4859        6.4813        6.4339        6.2413        6.4057        0.0025        
0.0600        PNM           9.0852        8.0132        8.2053        8.1959        8.1486        7.9005        8.1148        0.0025        
0.0800        PNM           10.9596       9.6267        9.8484        9.8472        9.7867        9.5254        9.7477        0.0019        
0.1000        PNM           12.9255       11.3210       11.5583       11.5715       11.4863       11.2507       11.4508       0.0027        
0.1200        PNM           15.0198       13.1634       13.4068       13.4363       13.3220       13.1282       13.2922       0.0028        
0.1400        PNM           17.2516       15.1785       15.4229       15.4680       15.3314       15.1747       15.2947       0.0047        
0.1600        PNM           19.6168       17.3676       17.6118       17.6720       17.5130       17.3885       17.4916       0.0043        
0.1800        PNM           22.1044       19.7205       19.9658       20.0357       19.8601       19.7611       19.8517       0.0046        
0.2000        PNM           24.7002       22.2206       22.4695       22.5401       22.3561       22.2749       22.3465       0.0045        
0.2200        PNM           27.3888       24.8479       25.1034       25.1747       24.9547       24.9128       25.0161       0.0047        
0.2400        PNM           30.1554       27.5816       27.8464       27.9150       27.6963       27.6538       27.7637       0.0039        
0.2600        PNM           32.9858       30.4020       30.6782       30.7413       30.5163       30.5858       30.6102       0.0056        
0.2800        PNM           35.8675       33.2917       33.5806       33.6378       33.4316       33.4767       33.5374       0.0056        
0.3000        PNM           38.7895       36.2359       36.5376       36.5857       36.3789       36.4211       36.5191       0.0059        
0.3200        PNM           41.7422       39.2226       39.5366       39.5748       39.3667       39.4055       39.5220       0.0037        
0.0200        SNM           -0.4167       -3.1006       -3.6895       -3.1917       -3.7508       -3.4202       -3.5692       0.0089        
0.0400        SNM           -1.7174       -6.8004       -6.9897       -6.0328       -6.7424       -6.8108       -7.0769       0.0168        
0.0600        SNM           -2.5381       -10.0440      -10.1471      -8.6611       -9.5568       -9.7967       -10.3655      0.0230        
0.0800        SNM           -2.7258       -12.9044      -13.5615      -11.1170      -12.4278      -12.3449      -13.4357      0.0787        
0.1000        SNM           -2.2254       -15.4387      -17.1776      -13.2983      -15.2353      -14.3760      -17.1736      0.0609        
0.1200        SNM           -1.0155       -17.6021      -20.7735      -15.0500      -19.1239      -15.8112      -20.6658      0.0763        
0.1400        SNM           0.9083        -19.3269      -24.1281      -16.0699      -22.3305      -16.5754      -23.8526      0.0951        
0.1600        SNM           3.5404        -20.5571      -27.0657      -16.7998      -23.8278      -16.6283      -26.8545      0.1139        
0.1800        SNM           6.8681        -21.2489      -29.4587      -16.6038      -24.8838      -15.9294      -29.8864      0.1364        
0.2000        SNM           10.8739       -21.3823      -31.2325      -15.7271      -26.0269      -14.4691      -31.5337      0.1841        
0.2200        SNM           15.5363       -20.9702      -32.3655      -14.2732      -26.2965      -12.2528      -33.0367      0.2797        
0.2400        SNM           20.8308       -20.0595      -32.8848      -11.8860      -26.2745      -9.3715       -34.2098      0.2817        
0.2600        SNM           26.7302       -18.7281      -32.8602      -9.5529       -26.3105      -5.7190       -34.7961      0.4159        
0.2800        SNM           33.2057       -17.0861      -32.4009      -5.2852       -26.6034      -1.4559       -35.1769      0.4032        
0.3000        SNM           40.2268       -15.2846      -31.6608      -1.1604       -25.4063      3.4857        -34.7766      0.4468        
0.3000        SNM                                                                                 8.9276        -33.9153      0.6629
