# g FCI HF MBPT(2) MBPT(3) MBPT(4) ADC(2) ADC(3) ADC(3)-D CCD IMSRG(2) FCIQMC Error(FCIQMC)
-2.0 -0.697788 4.000000 none none none none none none none none -0.696889 0.002990
-1.9 -0.642999 3.900000 -10.104646 178.979295 -2602.063299 none none none none -0.784900 -0.642442 0.002679
-1.8 -0.589533 3.800000 -4.979221 39.098769 -277.056616 none none none none -0.702700 -0.590450 0.002513
-1.7 -0.537463 3.700000 -3.204617 14.781926 -68.694485 none none none none -0.628700 -0.538169 0.001932
-1.6 -0.486869 3.600000 -2.278788 6.856933 -23.854278 none none none none -0.560600 -0.486779 0.001830
-1.5 -0.437841 3.500000 -1.700000 3.486667 -9.914000 none none none none -0.496900 -0.437553 0.001906
-1.4 -0.390478 3.400000 -1.300111 1.835025 -4.612956 none none none none -0.437400 -0.390485 0.001294
-1.3 -0.344892 3.300000 -1.006428 0.957822 -2.329044 -0.615722 -0.145888 -0.337150 -0.341578 -0.381500 -0.344720 0.001316
-1.2 -0.301209 3.200000 -0.782143 0.471811 -1.258645 -0.529422 -0.111699 -0.295352 -0.298776 -0.329300 -0.300747 0.000910
-1.1 -0.259568 3.100000 -0.606466 0.199141 -0.724772 -0.447324 -0.107529 -0.255271 -0.257841 -0.280600 -0.259529 0.000976
-1.0 -0.220130 3.000000 -0.466667 0.048889 -0.444000 -0.370108 -0.109217 -0.217092 -0.218952 -0.235600 -0.220181 0.000701
-0.9 -0.183073 2.900000 -0.354442 -0.028939 -0.288098 -0.298592 -0.107569 -0.181020 -0.182308 -0.193900 -0.182967 0.000619
-0.8 -0.148599 2.800000 -0.264103 -0.063429 -0.195816 -0.233666 -0.100423 -0.147289 -0.148132 -0.155800 -0.148708 0.000444
-0.7 -0.116938 2.700000 -0.191586 -0.072263 -0.136863 -0.176176 -0.088333 -0.116160 -0.116674 -0.121500 -0.116972 0.000332
-0.6 -0.088347 2.600000 -0.133894 -0.066577 -0.096024 -0.126779 -0.072805 -0.087927 -0.088212 -0.091000 -0.088262 0.000267
-0.5 -0.063116 2.500000 -0.088745 -0.053569 -0.065710 -0.085832 -0.055610 -0.062917 -0.063056 -0.064500 -0.063081 0.000159
-0.4 -0.041569 2.400000 -0.054365 -0.037993 -0.042289 -0.053358 -0.038506 -0.041491 -0.041548 -0.042200 -0.041542 0.000097
-0.3 -0.024069 2.300000 -0.029345 -0.023029 -0.024214 -0.029076 -0.023108 -0.024046 -0.024063 -0.024300 -0.024134 0.000155
-0.2 -0.011012 2.200000 -0.012543 -0.010823 -0.011029 -0.012498 -0.010825 -0.011008 -0.011011 -0.011100 -0.011005 0.000067
-0.1 -0.002834 2.100000 -0.003022 -0.002823 -0.002834 -0.003019 -0.002823 -0.002834 -0.002834 -0.002800 -0.002835 0.000015
0.0 0.000000 2.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.1 -0.003000 1.900000 -0.002820 -0.002991 -0.003000 -0.002818 -0.002990 -0.003000 -0.003000 -0.003000 -0.003002 0.000015
0.2 -0.012338 1.800000 -0.010920 -0.012199 -0.012329 -0.010897 -0.012171 -0.012339 -0.012339 -0.012400 -0.012354 0.000064
0.3 -0.028512 1.700000 -0.023819 -0.027859 -0.028457 -0.023717 -0.027705 -0.028529 -0.028522 -0.028900 -0.028546 0.000165
0.4 -0.051999 1.600000 -0.041098 -0.050086 -0.051804 -0.040818 -0.049575 -0.052092 -0.052041 -0.053300 -0.051995 0.000139
0.5 -0.083226 1.500000 -0.062393 -0.078912 -0.082733 -0.061797 -0.077640 -0.083568 -0.083362 -0.086700 -0.083211 0.000202
0.6 -0.122551 1.400000 -0.087382 -0.114301 -0.121548 -0.086298 -0.111681 -0.123527 -0.122909 -0.130400 -0.122663 0.000319
0.7 -0.170240 1.300000 -0.115782 -0.156179 -0.168498 -0.114011 -0.151442 -0.172578 -0.171045 -0.186500 -0.170302 0.000489
0.8 -0.226448 1.200000 -0.147339 -0.204435 -0.223775 -0.144663 -0.196668 -0.231383 -0.228067 -0.257500 -0.226892 0.000623
0.9 -0.291212 1.100000 -0.181828 -0.258940 -0.287527 -0.178013 -0.247117 -0.300651 -0.294192 -0.347400 -0.290657 0.000807
1.0 -0.364452 1.000000 -0.219048 -0.319546 -0.359856 -0.213848 -0.302579 -0.381132 -0.369557 -0.462500 -0.364649 0.001058
1.1 -0.445975 0.900000 -0.258814 -0.386099 -0.440829 -0.251980 -0.362878 -0.473586 -0.454214 -0.615200 -0.445941 0.001412
1.2 -0.535496 0.800000 -0.300962 -0.458435 -0.530478 -0.292238 -0.427869 -0.578753 -0.548135 -0.832900 -0.534948 0.001773
1.3 -0.632654 0.700000 -0.345341 -0.536390 -0.628808 -0.334471 -0.497432 -0.697313 -0.651221 -1.245700 -0.632862 0.001944
1.4 -0.737035 0.600000 -0.391815 -0.619798 -0.735798 -0.378543 -0.571474 -0.829856 -0.763305 none -0.737304 0.002470
1.5 -0.848191 0.500000 -0.440260 -0.708494 -0.851409 -0.424331 -0.649913 -0.976850 -0.884165 none -0.850069 0.003198
1.6 -0.965660 0.400000 -0.490560 -0.802314 -0.975579 -0.471722 -0.732679 -1.138626 -1.013533 none -0.965069 0.003527
1.7 -1.088980 0.300000 -0.542610 -0.901099 -1.108237 -0.520616 -0.819707 -1.315369 -1.151104 none -1.089641 0.004393
1.8 -1.217703 0.200000 -0.596314 -1.004692 -1.249294 -0.570919 -0.910936 -1.507115 -1.296542 none -1.219774 0.005289
1.9 -1.351395 0.100000 -0.651583 -1.112940 -1.398652 -0.622546 -1.006303 -1.713759 -1.449494 none -1.355538 0.005560
2.0 -1.489652 -0.000000 -0.708333 -1.225694 -1.556207 -0.675420 -1.105741 -1.935066 -1.609594 none -1.487818 0.006396
